item_id,title,category,duration_min,difficulty,views,likes,cognitive_benefit,social_benefit
40,ทำแกงส้มปลาช่อน #40,เล่านิทาน/อ่านหนังสือ,10,ง่าย,37068,1639,0.41509201233044346,0.6450412790693905
41,เล่านิทานหลาน #41,ไทเก๊ก/โยคะ,10,ง่าย,43215,263,0.35020511515353,0.2878315889416535
42,ทำแกงส้มปลาช่อน #42,ดนตรี/ร้องเพลง,20,ง่าย,24406,3719,0.34381700455504016,0.8346515974067643
43,ตีกลองสงกรานต์ #43,เล่านิทาน/อ่านหนังสือ,30,ง่าย,19519,3159,0.9137811978537989,0.20709272778461002
44,ออกกำลังกายในน้ำ #44,ทำบุญ/สมาธิ,20,ยาก,7340,1065,0.8484509455524163,0.6037432127236291
45,สูตรขนมไทยโบราณ #45,ทำอาหาร/ขนม,15,ง่าย,25216,1146,0.3865130796857818,0.5312840130239922
46,งานจักสาน #46,ไทเก๊ก/โยคะ,20,ง่าย,26506,2629,0.6213221978070556,0.5357198210270648
47,ทำน้ำพริก #47,งานฝีมือ/ศิลปะ,30,ปานกลาง,9405,4972,0.39764252825227653,0.6362178665710708
48,ร้องเพลงลูกทุ่ง #48,ออกกำลังกาย,10,ปานกลาง,33706,4108,0.4661405473705337,0.9581260246263887
49,งานจักสาน #49,ออกกำลังกาย,5,ง่าย,21090,3910,0.864160156072435,0.983294236458917
50,ท่าไทเก๊ก 24 ท่า #50,ไทเก๊ก/โยคะ,20,ง่าย,38154,143,0.7590346330238148,0.5467576277370108
51,เล่นกีตาร์เพลงไทย #51,งานฝีมือ/ศิลปะ,15,ง่าย,8347,2431,0.7588593000030939,0.9837923174844445
52,โยคะผู้สูงวัยตอนเช้า #52,งานฝีมือ/ศิลปะ,30,ปานกลาง,38731,4471,0.8235254334848341,0.41289537581187574
53,ทำน้ำพริก #53,เทคโนโลยี/มือถือ,20,ง่าย,22142,2195,0.7765893651975952,0.40161759193448204
54,ตีกลองสงกรานต์ #54,ทำอาหาร/ขนม,20,ง่าย,773,4562,0.6198769892284909,0.8013266452258443
55,สูตรขนมไทยโบราณ #55,งานฝีมือ/ศิลปะ,20,ง่าย,8508,3335,0.3353168917907664,0.847189754896676
56,อ่านธรรมะ #56,งานฝีมือ/ศิลปะ,15,ยาก,8949,3989,0.6138952646825993,0.8328740839979802
57,ดูแลกล้วยไม้ #57,ทำบุญ/สมาธิ,5,ง่าย,20605,3912,0.7274111823903133,0.4098413501015135
58,ปักผ้าลายดอกไม้ #58,เล่านิทาน/อ่านหนังสือ,20,ปานกลาง,654,165,0.4048775324920469,0.7096104118198376
59,รำวงมาตรฐาน #59,ทำอาหาร/ขนม,5,ง่าย,19943,694,0.4188007277781607,0.47681298304508835
60,งานจักสาน #60,ดนตรี/ร้องเพลง,10,ยาก,17601,2349,0.9917915887655993,0.5987330093602201
61,เดินออกกำลังกาย #61,การเต้น/นาฏศิลป์,30,ปานกลาง,42700,471,0.818797928239998,0.68328826423438
62,รำวงมาตรฐาน #62,เทคโนโลยี/มือถือ,5,ปานกลาง,43898,2414,0.5945062237902119,0.6689014370189212
63,รำวงมาตรฐาน #63,งานฝีมือ/ศิลปะ,30,ง่าย,41753,1588,0.8393084278437888,0.8082636302749933
64,ทำน้ำพริก #64,ออกกำลังกาย,20,ง่าย,2995,2977,0.8437877575433952,0.472249248831918
65,ออกกำลังกายในน้ำ #65,เล่านิทาน/อ่านหนังสือ,20,ยาก,20439,1852,0.7524590302313492,0.9378203792336206
66,ทำบุญออนไลน์ #66,ดนตรี/ร้องเพลง,15,ง่าย,48998,479,0.6427650868721936,0.37555398565180637
67,ดูแลกล้วยไม้ #67,การเต้น/นาฏศิลป์,5,ง่าย,11635,4015,0.4232552841736387,0.9617545135017076
68,รำวงมาตรฐาน #68,ทำบุญ/สมาธิ,5,ปานกลาง,23491,220,0.969210094540774,0.8526938292781139
69,อ่านนวนิยาย #69,ทำบุญ/สมาธิ,10,ปานกลาง,39586,1653,0.9262099689320593,0.571179586864625
70,งานจักสาน #70,เทคโนโลยี/มือถือ,10,ยาก,25308,1642,0.9964019445341705,0.6681117340802536
71,ปลูกผักสวนครัว #71,เล่านิทาน/อ่านหนังสือ,15,ปานกลาง,28803,3800,0.9229545949288844,0.615227560942723
72,โยคะผู้สูงวัยตอนเช้า #72,ทำบุญ/สมาธิ,30,ง่าย,46357,673,0.7857458514927159,0.27554615283471223
73,ดูแลกล้วยไม้ #73,เทคโนโลยี/มือถือ,20,ง่าย,6403,3672,0.5083418896288909,0.97581526069793
74,วาดภาพสีน้ำ #74,ไทเก๊ก/โยคะ,20,ปานกลาง,24870,4058,0.31566780476737305,0.46828532583568533
75,กายบริหารเก้าอี้ #75,สวนครัว/ปลูกต้นไม้,20,ปานกลาง,27543,2438,0.7347581447578287,0.6365772707838095
76,ลีลาศผู้สูงวัย #76,สวนครัว/ปลูกต้นไม้,20,ง่าย,31450,1798,0.3392600758895939,0.66102493358498
77,ทำแกงส้มปลาช่อน #77,ดนตรี/ร้องเพลง,5,ปานกลาง,2638,3721,0.5838294946337219,0.7731936006172584
78,ปลูกผักสวนครัว #78,ไทเก๊ก/โยคะ,20,ง่าย,47702,767,0.48312224143456906,0.5560348631430372
79,วาดภาพสีน้ำ #79,ไทเก๊ก/โยคะ,10,ง่าย,6347,3857,0.5807626490344753,0.6143510579467001
80,รำวงมาตรฐาน #80,สวนครัว/ปลูกต้นไม้,20,ง่าย,33513,774,0.8179724399152755,0.9014329376480206
81,ดูแลกล้วยไม้ #81,เล่านิทาน/อ่านหนังสือ,5,ง่าย,49793,4307,0.7235549611127072,0.6299398098154214
82,สูตรขนมไทยโบราณ #82,ออกกำลังกาย,15,ง่าย,17680,2520,0.41968685811175166,0.2997004433824129
83,ตีกลองสงกรานต์ #83,เทคโนโลยี/มือถือ,10,ปานกลาง,9281,3498,0.39456607420093454,0.9226223416467234
84,วาดภาพสีน้ำ #84,ไทเก๊ก/โยคะ,15,ง่าย,3933,1539,0.8696973126763583,0.45658723193206674
85,กายบริหารเก้าอี้ #85,ออกกำลังกาย,10,ง่าย,3591,4643,0.9461299315908394,0.9971422657627431
86,เล่านิทานหลาน #86,เล่านิทาน/อ่านหนังสือ,10,ง่าย,45407,4130,0.5484674430937128,0.997439707750605
87,งานจักสาน #87,งานฝีมือ/ศิลปะ,15,ปานกลาง,40050,3467,0.914435481599795,0.3006417479120578
88,กายบริหารเก้าอี้ #88,ดนตรี/ร้องเพลง,30,ปานกลาง,27293,4864,0.4693638468482348,0.8507450094383222
89,เล่านิทานหลาน #89,งานฝีมือ/ศิลปะ,5,ปานกลาง,43509,298,0.8354995881812965,0.7664838343626741
90,ปฏิบัติธรรมวันสำคัญ #90,ทำอาหาร/ขนม,15,ปานกลาง,38294,3397,0.948381593720047,0.42160412162237004
91,อ่านนวนิยาย #91,ออกกำลังกาย,20,ปานกลาง,23785,2486,0.5413598342808197,0.9295729785853071
92,ทำน้ำพริก #92,เทคโนโลยี/มือถือ,30,ปานกลาง,19463,60,0.3709239155603488,0.57367053681244
93,งานจักสาน #93,เล่านิทาน/อ่านหนังสือ,30,ง่าย,21765,946,0.31383886272011124,0.3787992466568915
94,เล่านิทานหลาน #94,ไทเก๊ก/โยคะ,15,ง่าย,12703,1796,0.6220704906841996,0.6975985849799977
95,เดินออกกำลังกาย #95,ดนตรี/ร้องเพลง,15,ปานกลาง,36328,2331,0.9771732162598523,0.4803699620066354
96,ปฏิบัติธรรมวันสำคัญ #96,เทคโนโลยี/มือถือ,30,ง่าย,26664,1721,0.3770276388254225,0.215432167101896
97,รำวงมาตรฐาน #97,ดนตรี/ร้องเพลง,5,ปานกลาง,44347,1231,0.32679611180188695,0.3703495044398077
98,ออกกำลังกายในน้ำ #98,ทำบุญ/สมาธิ,10,ปานกลาง,30339,4019,0.7980934141722678,0.23671584418641692
99,ใช้ LINE วิดีโอคอล #99,ไทเก๊ก/โยคะ,20,ง่าย,49813,4610,0.5347939285503152,0.9882926547341007
